candidate_id,rank,score,reasoning
CAND_0030953,1,0.955566,"Strong background in Production Scale, with room to grow in Vector DB Expertise. Notice period: 45 days."
CAND_0010770,2,0.946473,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0053695,3,0.946139,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0064326,4,0.926664,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0042506,5,0.920462,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise."
CAND_0039383,6,0.915402,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0026532,7,0.912565,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0081846,8,0.908856,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure."
CAND_0007009,9,0.897789,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise."
CAND_0039754,10,0.894891,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure."
CAND_0041669,11,0.893804,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0041610,12,0.891394,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0028793,13,0.891126,"Strong background in Production Scale, with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0041568,14,0.888714,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise. Notice period: 90 days."
CAND_0060054,15,0.882899,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0083307,16,0.873480,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0036437,17,0.869950,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0017960,18,0.869615,"Strong background in Production Scale, with room to grow in Core Search/LTR. Notice period: 60 days."
CAND_0076251,19,0.867296,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0068811,20,0.865936,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0065195,21,0.863178,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0018499,22,0.861921,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0037000,23,0.860889,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0052328,24,0.859568,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0046064,25,0.859125,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure."
CAND_0075249,26,0.854606,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
