candidate_id,rank,score,confidence,reasoning
CAND_0007009,1,0.991000,High (99%),Match Confidence: High (99%) — Exposure to ranking components utilizing Learning to Rank and Learning to Rank; strong fit for core search optimization. The candidate's 30-day notice period is a hiring advantage.
CAND_0042506,2,0.977397,High (99%),Match Confidence: High (99%) — Search-stack background with Information Retrieval and Information Retrieval; indicates strong product-system alignment. Alignment with favorable joining timeline.
CAND_0036184,3,0.929068,High (99%),Match Confidence: High (99%) — Experience deploying vector DBs via FAISS and Vector Search; strong candidate for embedding-heavy architectures. Alignment with favorable joining timeline.
CAND_0079387,4,0.922165,High (99%),Match Confidence: High (99%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Learning to Rank; strong candidate for the recommendation systems team. Fast availability (30 days) makes this profile actionable.
CAND_0027691,5,0.916530,High (99%),Match Confidence: High (99%) — Experience with retrieval and ranking-related systems using Recommendation Systems and Learning to Rank; strong candidate for the recommendation systems team. The candidate's 15-day notice period is a hiring advantage.
CAND_0028793,6,0.906099,High (99%),Match Confidence: High (99%) — Understanding of retrieval relevance and ranking heuristics utilizing Learning to Rank and Learning to Rank; strong alignment with team goals. Technical strengths are somewhat offset by the 120-day notice requirement.
CAND_0054394,7,0.904453,High (99%),Match Confidence: High (99%) — Experience building vector-search pipelines using Pinecone and Pinecone; strong fit for large-scale retrieval systems. Alignment with favorable joining timeline.
CAND_0020708,8,0.900518,High (99%),Match Confidence: High (99%) — Understanding of retrieval relevance and ranking heuristics utilizing Learning to Rank and Learning to Rank; strong alignment with team goals. Profile supported by quick joining availability.
CAND_0039383,9,0.900465,High (99%),"Match Confidence: High (99%) — Exposure to ranking pipelines with Recommendation Systems and Recommendation Systems; demonstrates strong relevance for ranking acumen. The candidate is relevant, though the 90-day notice period requires scheduling flexibility."
CAND_0051292,10,0.900137,High (99%),Match Confidence: High (99%) — Hands-on search infrastructure experience via Elasticsearch and Elasticsearch; strong fit for retrieval optimization tasks. The candidate's 30-day notice period is a hiring advantage.
CAND_0040117,11,0.897456,High (99%),Match Confidence: High (99%) — Experience building search engines with BM25 and BM25; provides strong alignment with core JD needs. Alignment with favorable joining timeline.
CAND_0062247,12,0.896585,High (99%),Match Confidence: High (99%) — Ranking-system experience using Learning to Rank and Learning to Rank; strong fit for recommendation and retrieval optimization. Alignment with favorable joining timeline.
CAND_0065195,13,0.895191,High (99%),Match Confidence: High (99%) — Exposure to ranking pipelines with Learning to Rank and Learning to Rank; demonstrates strong relevance for ranking acumen.
CAND_0081846,14,0.895170,High (99%),Match Confidence: High (99%) — Exposure to ranking-oriented retrieval systems using Learning to Rank and Recommendation Systems; provides strong signal for JD relevance. Alignment with favorable joining timeline.
CAND_0068811,15,0.894984,High (99%),Match Confidence: High (99%) — Search infrastructure capabilities featuring OpenSearch and OpenSearch; strong candidate for the relevance engineering team. Fast availability (30 days) makes this profile actionable.
CAND_0053695,16,0.893072,High (99%),Match Confidence: High (99%) — Understanding of retrieval relevance and ranking heuristics utilizing Recommendation Systems and Recommendation Systems; strong alignment with team goals. The candidate's 15-day notice period is a hiring advantage.
CAND_0066376,17,0.891749,High (99%),"Match Confidence: High (99%) — Ranking-system experience using Recommendation Systems and Learning to Rank; strong fit for recommendation and retrieval optimization. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0041669,18,0.891067,High (99%),"Match Confidence: High (99%) — Hands-on search-platform experience with Information Retrieval and Information Retrieval; shows strong alignment with ranking-heavy JD. Technical relevance, though slightly weaker due to 60-day notice period."
CAND_0010770,19,0.888713,High (99%),Match Confidence: High (99%) — Understanding of retrieval relevance and ranking heuristics utilizing Learning to Rank and Learning to Rank; strong alignment with team goals. Fast availability (30 days) makes this profile actionable.
CAND_0010685,20,0.888208,High (99%),Match Confidence: High (99%) — Background in enterprise search systems utilizing Information Retrieval and Elasticsearch; strong match for this role. Fast availability (30 days) makes this profile actionable.
CAND_0027801,21,0.887729,High (99%),Match Confidence: High (99%) — Understanding of retrieval relevance and ranking heuristics utilizing Learning to Rank and Learning to Rank; strong alignment with team goals. Technical strengths are somewhat offset by the 120-day notice requirement.
CAND_0075249,22,0.886998,High (99%),Match Confidence: High (99%) — Experience with retrieval and ranking-related systems using Learning to Rank and Learning to Rank; strong candidate for the recommendation systems team.
CAND_0066999,23,0.885815,High (99%),Match Confidence: High (99%) — Shows relevant exposure to search relevance and indexing through OpenSearch and BM25; strong alignment for the role. Alignment with favorable joining timeline.
CAND_0052328,24,0.885519,High (99%),Match Confidence: High (99%) — Retrieval and ranking exposure through Recommendation Systems and Learning to Rank; strong alignment with ranking-focused requirements. Alignment with favorable joining timeline.
CAND_0061265,25,0.885283,High (99%),"Match Confidence: High (99%) — Exposure to ranking pipelines with Learning to Rank and Learning to Rank; demonstrates strong relevance for ranking acumen. The candidate is relevant, though the 120-day notice period requires scheduling flexibility."
CAND_0041568,26,0.883757,High (99%),"Match Confidence: High (99%) — Exposure to ranking components utilizing Recommendation Systems and Recommendation Systems; strong fit for core search optimization. Demonstrates the right skills, but carries a heavier 90-day availability burden."
