candidate_id,rank,score,reasoning
CAND_0030953,1,0.955566,"Strong background in Production Scale, with room to grow in Vector DB Expertise. Notice period: 45 days."
CAND_0010770,2,0.931045,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0042506,3,0.924462,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise."
CAND_0026532,4,0.912565,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0053695,5,0.902821,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0064326,6,0.901198,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0041669,7,0.893804,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0081846,8,0.889296,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure."
CAND_0007009,9,0.868949,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise."
CAND_0039754,10,0.865339,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure."
CAND_0041568,11,0.863277,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise. Notice period: 90 days."
CAND_0028793,12,0.858476,"Strong background in Production Scale, with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0068811,13,0.858436,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0046064,14,0.849125,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure."
CAND_0075249,15,0.844606,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0055905,16,0.842358,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure."
CAND_0083307,17,0.838262,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0039383,18,0.836295,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0041610,19,0.835239,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0017960,20,0.833460,"Strong background in Production Scale, with room to grow in Core Search/LTR. Notice period: 60 days."
CAND_0037000,21,0.833251,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0052328,22,0.831779,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0036437,23,0.831376,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0076251,24,0.830320,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0060054,25,0.829737,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0065195,26,0.822490,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0077285,27,0.815136,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0040117,28,0.807785,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0081686,29,0.805530,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0055992,30,0.791550,"Strong background in Production Scale, with room to grow in Search Infrastructure. Notice period: 60 days."
CAND_0051292,31,0.774576,"Strong background in Search Infrastructure, with room to grow in Production Scale."
CAND_0066376,32,0.774037,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0018499,33,0.773230,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0018549,34,0.765891,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0076831,35,0.762817,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0020708,36,0.761109,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0086151,37,0.760767,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0079387,38,0.755350,"Strong background in Production Scale, with room to grow in Search Infrastructure."
CAND_0054123,39,0.754555,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0061339,40,0.751728,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0077337,41,0.750730,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0039838,42,0.744296,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0071974,43,0.744275,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0044222,44,0.740178,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0000031,45,0.728662,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0010685,46,0.726648,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0011162,47,0.724894,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0075574,48,0.714324,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0075439,49,0.713721,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0011687,50,0.711824,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0031593,51,0.711344,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0039521,52,0.710286,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0009024,53,0.708076,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0027691,54,0.703949,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0014440,55,0.702245,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0049896,56,0.694409,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0043228,57,0.692937,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0036184,58,0.691171,"Strong background in Search Infrastructure, but lacks explicit evidence of Vector DB Expertise."
CAND_0087364,59,0.690336,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0066999,60,0.685044,"Strong background in Production Scale, but lacks explicit evidence of Vector DB Expertise."
CAND_0020877,61,0.684901,"Strong background in Search Infrastructure, with room to grow in Vector DB Expertise. Notice period: 60 days."
CAND_0053591,62,0.679409,"Strong background in Production Scale, but lacks explicit evidence of Search Infrastructure. Notice period: 60 days."
