candidate_id,rank,score,reasoning
CAND_0064326,1,0.821389,"With 7.6 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Milvus, Semantic Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0042506,2,0.770569,"With 4.2 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically Semantic Search, Information Retrieval), with room to grow in Vector DB Expertise."
CAND_0041669,3,0.766387,"With 8 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically FAISS, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0039383,4,0.750891,"With 7.1 years of experience, this Applied ML Engineer shows a strong background in Production Scale (specifically FAISS, Vector Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0028793,5,0.735839,"With 7.2 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Learning to Rank, Information Retrieval), with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0007009,6,0.725606,"With 7.9 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Weaviate, Learning to Rank), with room to grow in Vector DB Expertise."
CAND_0026532,7,0.721909,"With 4.8 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically pgvector, Semantic Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0052328,8,0.717193,"With 6.5 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically OpenSearch, Learning to Rank), but lacks explicit evidence of Vector DB Expertise."
CAND_0017960,9,0.697634,"With 7.7 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically Qdrant, Information Retrieval), with room to grow in Core Search/LTR. Notice period: 60 days."
CAND_0041610,10,0.662866,"With 6.7 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Elasticsearch, OpenSearch), but lacks explicit evidence of Vector DB Expertise."
CAND_0070398,11,0.656057,"With 7.2 years of experience, this Machine Learning Engineer shows a strong background in Production Scale (specifically BM25, FAISS), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0074225,12,0.639559,"With 4.3 years of experience, this Machine Learning Engineer shows a strong background in Production Scale (specifically Semantic Search, Elasticsearch), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0088025,13,0.638974,"With 8.6 years of experience, this Staff Machine Learning Engineer shows a strong background in Production Scale (specifically Pinecone, BM25), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0079387,14,0.632586,"With 6.9 years of experience, this AI Engineer shows a strong background in Production Scale (specifically Vector Search, OpenSearch), with room to grow in Search Infrastructure."
CAND_0066999,15,0.624934,"With 5.9 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically OpenSearch, FAISS), but lacks explicit evidence of Vector DB Expertise."
CAND_0016163,16,0.611330,"With 6.7 years of experience, this Applied ML Engineer shows a strong background in Search Infrastructure (specifically Weaviate, pgvector), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0057701,17,0.600700,"With 4.1 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically OpenSearch, Qdrant), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0014440,18,0.595110,"With 6.4 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Elasticsearch, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0051292,19,0.582162,"With 5.2 years of experience, this Applied ML Engineer shows a strong background in Search Infrastructure (specifically pgvector, FAISS), with room to grow in Production Scale."
CAND_0043381,20,0.574594,"With 3.6 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically BM25, OpenSearch), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0033179,21,0.572382,"With 6.9 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically OpenSearch, Information Retrieval), but lacks explicit evidence of Vector DB Expertise."
CAND_0008295,22,0.568036,"With 6.5 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically BM25, Weaviate), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0013613,23,0.562413,"With 4.7 years of experience, this Machine Learning Engineer shows a strong background in Production Scale (specifically Weaviate), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0054394,24,0.560730,"With 4.1 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Pinecone), but lacks explicit evidence of Vector DB Expertise."
CAND_0019480,25,0.555822,"With 2.8 years of experience, this NLP Engineer shows a strong background in Production Scale (specifically Milvus, BM25), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0010257,26,0.555064,"With 6.5 years of experience, this Senior Data Scientist shows a strong background in Production Scale (specifically Milvus, OpenSearch), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0081852,27,0.553049,"With 5.9 years of experience, this Senior Data Scientist has a moderate background in Production Scale (specifically Semantic Search, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0093912,28,0.552551,"With 5.3 years of experience, this Senior Data Scientist has a moderate background in Core Search/LTR (specifically Milvus, Vector Search), but lacks explicit evidence of Vector DB Expertise."
CAND_0035879,29,0.550658,"With 4.5 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically Pinecone, Elasticsearch), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0043829,30,0.548791,"With 4.8 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically Qdrant, BM25), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0098780,31,0.547245,"With 5.9 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically Semantic Search, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0060054,32,0.542325,"With 6.4 years of experience, this AI Engineer shows a strong background in Production Scale (specifically Weaviate, FAISS), but lacks explicit evidence of Vector DB Expertise."
CAND_0004402,33,0.529808,"With 6 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically OpenSearch, Learning to Rank), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0062413,34,0.529638,"With 6.6 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically Learning to Rank, Semantic Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0083879,35,0.529613,"With 7.1 years of experience, this Machine Learning Engineer shows a strong background in Production Scale (specifically Milvus), but lacks explicit evidence of Vector DB Expertise."
CAND_0048558,36,0.529584,"With 6.7 years of experience, this Data Scientist shows a strong background in Production Scale (specifically Information Retrieval, OpenSearch), but lacks explicit evidence of Vector DB Expertise."
CAND_0024466,37,0.524330,"With 5.2 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically pgvector, BM25), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0011327,38,0.522117,"With 6.3 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically Semantic Search, OpenSearch), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0092706,39,0.519104,"With 5.8 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically pgvector), but lacks explicit evidence of Vector DB Expertise. Notice period: 120 days."
CAND_0043450,40,0.517982,"With 3.3 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically BM25, Weaviate), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0046459,41,0.510375,"With 4.5 years of experience, this AI Research Engineer shows a strong background in Search Infrastructure (specifically BM25, Qdrant), but lacks explicit evidence of Vector DB Expertise."
