candidate_id,rank,score,reasoning
CAND_0081846,1,0.824614,Exposure to ranking-oriented retrieval systems using Learning to Rank and Recommendation Systems; provides adequate signal for JD relevance. Supported by strong production deployment history. Alignment with favorable joining timeline.
CAND_0055905,2,0.795243,Background in enterprise search systems utilizing Elasticsearch and OpenSearch; reasonable match for this role. Supported by strong production deployment history. The candidate's 30-day notice period is a hiring advantage.
CAND_0010770,3,0.790498,Understanding of retrieval relevance and ranking heuristics utilizing Learning to Rank and core retrieval tools; weak alignment with team goals. Demonstrates real-world production scale. Fast availability (30 days) makes this profile actionable.
CAND_0053695,4,0.766320,Understanding of retrieval relevance and ranking heuristics utilizing Recommendation Systems and core retrieval tools; partial alignment with team goals. Demonstrates real-world production scale. The candidate's 15-day notice period is a hiring advantage.
CAND_0018499,5,0.752851,Experience with retrieval and ranking-related systems using Recommendation Systems and Learning to Rank; weak candidate for the recommendation systems team. Supported by strong production deployment history. The candidate's 15-day notice period is a hiring advantage.
CAND_0030953,6,0.733919,Exposure to ranking components utilizing Learning to Rank and core retrieval tools; borderline fit for core search optimization. Backed by hands-on deployment experience.
CAND_0041610,7,0.724237,Experience with ranking algorithms with Learning to Rank and Recommendation Systems; borderline fit for relevance maximization. Solid shipping evidence noted. Fast availability (30 days) makes this profile actionable.
CAND_0064326,8,0.717260,Demonstrated search engineering exposure through BM25 and core retrieval tools; provides weak relevance for search-oriented systems. Demonstrates real-world production scale.
CAND_0039754,9,0.709497,Hands-on search-platform experience with OpenSearch and BM25; shows borderline alignment with ranking-heavy JD. Backed by hands-on deployment experience. The candidate's 30-day notice period is a hiring advantage.
CAND_0008425,10,0.703375,"Experience with retrieval and ranking-related systems using Learning to Rank and Recommendation Systems; weak candidate for the recommendation systems team. Supported by strong production deployment history. A strong candidate, however the 90-day joining timeline is less than ideal."
CAND_0042506,11,0.700816,Search-stack background with Information Retrieval and core retrieval tools; indicates borderline product-system alignment. Solid shipping evidence noted. Alignment with favorable joining timeline.
CAND_0076251,12,0.699958,"Exposure to ranking pipelines with Learning to Rank and core retrieval tools; demonstrates borderline relevance for ranking acumen. Backed by hands-on deployment experience. The candidate is relevant, though the 60-day notice period requires scheduling flexibility."
CAND_0039383,13,0.690855,"Exposure to ranking pipelines with Recommendation Systems and core retrieval tools; demonstrates borderline relevance for ranking acumen. Backed by hands-on deployment experience. The candidate is relevant, though the 90-day notice period requires scheduling flexibility."
CAND_0060054,14,0.690652,Ranking-system experience using Recommendation Systems and core retrieval tools; limited fit for recommendation and retrieval optimization. Solid shipping evidence noted. The candidate's 15-day notice period is a hiring advantage.
CAND_0027691,15,0.689745,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0068811,16,0.685035,"Partial match with OpenSearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0041568,17,0.670293,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0046064,18,0.668776,"Partial match with BM25 and OpenSearch, but lacks strong production or seniority signals."
CAND_0052328,19,0.668531,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0026532,20,0.667659,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0077337,21,0.667184,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0065195,22,0.665874,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0055992,23,0.665704,"Partial match with Information Retrieval and OpenSearch, but lacks strong production or seniority signals."
CAND_0010685,24,0.664104,"Partial match with Information Retrieval and Elasticsearch, but lacks strong production or seniority signals."
CAND_0075249,25,0.664023,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0007009,26,0.661072,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0041669,27,0.660504,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0036437,28,0.653170,"Partial match with OpenSearch and Elasticsearch, but lacks strong production or seniority signals."
CAND_0011687,29,0.649267,"Partial match with OpenSearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0079387,30,0.638160,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0018549,31,0.634962,"Partial match with Elasticsearch and OpenSearch, but lacks strong production or seniority signals."
CAND_0043228,32,0.634348,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0083307,33,0.633859,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0086151,34,0.631516,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0009024,35,0.629782,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0014440,36,0.626390,"Partial match with Elasticsearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0081686,37,0.615926,"Partial match with FAISS and Milvus, but lacks strong production or seniority signals."
CAND_0066376,38,0.611596,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0040117,39,0.601180,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0028793,40,0.595328,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0025640,41,0.593763,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0071974,42,0.588854,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0036184,43,0.577910,"Partial match with FAISS and Vector Search, but lacks strong production or seniority signals."
CAND_0044222,44,0.577232,"Partial match with OpenSearch and BM25, but lacks strong production or seniority signals."
CAND_0031593,45,0.577101,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0051292,46,0.571197,"Partial match with Elasticsearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0027801,47,0.567778,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0053591,48,0.563417,"Partial match with OpenSearch and BM25, but lacks strong production or seniority signals."
CAND_0062247,49,0.557004,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0020708,50,0.553013,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0037000,51,0.551290,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0054123,52,0.547730,"Partial match with pgvector and Weaviate, but lacks strong production or seniority signals."
CAND_0081053,53,0.546654,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0017960,54,0.541321,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0011162,55,0.539859,"Partial match with OpenSearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0000031,56,0.535754,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0061265,57,0.534487,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0005649,58,0.527336,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0002025,59,0.518387,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0049896,60,0.515522,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0046525,61,0.508695,"Partial match with Elasticsearch and Information Retrieval, but lacks strong production or seniority signals."
CAND_0057563,62,0.502619,"Partial match with Elasticsearch and OpenSearch, but lacks strong production or seniority signals."
CAND_0096172,63,0.500644,"Partial match with OpenSearch and Elasticsearch, but lacks strong production or seniority signals."
CAND_0077285,64,0.497856,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0084819,65,0.494925,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0033861,66,0.493818,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0061339,67,0.493171,"Partial match with Information Retrieval and OpenSearch, but lacks strong production or seniority signals."
CAND_0076831,68,0.489719,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0010541,69,0.489149,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0066999,70,0.488427,"Partial match with OpenSearch and BM25, but lacks strong production or seniority signals."
CAND_0033179,71,0.484182,"Partial match with OpenSearch and Information Retrieval, but lacks strong production or seniority signals."
CAND_0039838,72,0.478311,"Partial match with OpenSearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0018722,73,0.472466,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0015528,74,0.471288,"Partial match with Information Retrieval and OpenSearch, but lacks strong production or seniority signals."
CAND_0093331,75,0.469878,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0007412,76,0.469184,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0078492,77,0.467155,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0072660,78,0.463828,"Partial match with Information Retrieval and OpenSearch, but lacks strong production or seniority signals."
CAND_0099806,79,0.460655,"Partial match with Elasticsearch and BM25, but lacks strong production or seniority signals."
CAND_0075574,80,0.455810,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0070333,81,0.454490,"Partial match with Elasticsearch and core retrieval tools, but lacks strong production or seniority signals."
CAND_0058575,82,0.454430,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0044855,83,0.448399,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0007411,84,0.448105,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
CAND_0095528,85,0.446914,"Partial match with OpenSearch and Elasticsearch, but lacks strong production or seniority signals."
CAND_0093912,86,0.444833,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0069905,87,0.443051,"Partial match with Recommendation Systems and Learning to Rank, but lacks strong production or seniority signals."
CAND_0081852,88,0.442864,"Partial match with Milvus and pgvector, but lacks strong production or seniority signals."
CAND_0087364,89,0.442047,"Partial match with OpenSearch and Elasticsearch, but lacks strong production or seniority signals."
CAND_0054394,90,0.441946,"Partial match with Pinecone and core retrieval tools, but lacks strong production or seniority signals."
CAND_0070485,91,0.437462,"Partial match with Recommendation Systems and core retrieval tools, but lacks strong production or seniority signals."
CAND_0006557,92,0.436891,"Partial match with Elasticsearch and OpenSearch, but lacks strong production or seniority signals."
CAND_0080766,93,0.432430,"Partial match with Information Retrieval Systems and Elasticsearch, but lacks strong production or seniority signals."
CAND_0093883,94,0.432416,"Partial match with BM25 and OpenSearch, but lacks strong production or seniority signals."
CAND_0022812,95,0.428930,"Partial match with Weaviate and Pinecone, but lacks strong production or seniority signals."
CAND_0045250,96,0.428290,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0052682,97,0.426542,"Partial match with FAISS and core retrieval tools, but lacks strong production or seniority signals."
CAND_0039521,98,0.425547,"Partial match with BM25 and core retrieval tools, but lacks strong production or seniority signals."
CAND_0052706,99,0.425169,"Partial match with Information Retrieval and core retrieval tools, but lacks strong production or seniority signals."
CAND_0088025,100,0.424251,"Partial match with Learning to Rank and core retrieval tools, but lacks strong production or seniority signals."
