candidate_id,rank,score,reasoning
CAND_0000031,1,0.729061,"Recommendation Systems Engineer at Swiggy (6.0yr, Hyderabad, Telangana). built Recommendation Systems Engineer-level retrieval/search systems at Swiggy; key skills: FAISS, Pinecone. No major concerns. Response rate 91%, notice 60d."
CAND_0000014,2,0.442231,"Frontend Engineer at Zomato (8.4yr, Hyderabad, Telangana). Skills directly matching JD: FAISS, OpenSearch. Concerns: 90d notice period; not marked open-to-work. Response rate 80%, notice 90d."
CAND_0000010,3,0.402553,"Data Engineer at Ola (4.6yr, London, UK). Skills directly matching JD: Elasticsearch, BM25. Concerns: 120d notice period; not marked open-to-work. Response rate 40%, notice 120d."
CAND_0000048,4,0.401479,"Mobile Developer at CRED (9.7yr, Hyderabad, Telangana). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: 120d notice period. Response rate 65%, notice 120d."
CAND_0000001,5,0.395376,"Backend Engineer at Mindtree (6.9yr, Toronto, Canada). Skills directly matching JD: Milvus. No major concerns. Response rate 34%, notice 60d."
CAND_0000038,6,0.388093,"Java Developer at Swiggy (6.7yr, Coimbatore, Tamil Nadu). Skills directly matching JD: Weaviate. Concerns: 90d notice period; 20% recruiter response rate. Response rate 20%, notice 90d."
CAND_0000023,7,0.369212,"Software Engineer at Acme Corp (3.7yr, New York, USA). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: not marked open-to-work. Response rate 57%, notice 30d."
CAND_0000015,8,0.364616,"Software Engineer at Razorpay (5.4yr, Trivandrum, Kerala). Skills directly matching JD: Qdrant. Concerns: 90d notice period; inactive 123d on platform. Response rate 32%, notice 90d."
CAND_0000011,9,0.264819,"QA Engineer at Pied Piper (2.0yr, Hyderabad, Telangana). Skills directly matching JD: Recommendation Systems. Concerns: 90d notice period; not marked open-to-work. Response rate 56%, notice 90d."
CAND_0000027,10,0.228588,"DevOps Engineer at Infosys (3.9yr, Kolkata, West Bengal). Skills directly matching JD: Information Retrieval. Concerns: consulting-heavy career (100% in IT services); 90d notice period. Response rate 58%, notice 90d."
CAND_0000032,11,0.196308,".NET Developer at Cognizant (8.1yr, Gurgaon, Haryana). Skills directly matching JD: Embeddings. Concerns: 150d notice period; not marked open-to-work. Response rate 69%, notice 150d."
CAND_0000035,12,0.170317,"Full Stack Developer at Globex Inc (4.3yr, Hyderabad, Telangana). Skills directly matching JD: Recommendation Systems. Concerns: not marked open-to-work; inactive 129d on platform. Response rate 34%, notice 60d."
CAND_0000025,13,0.160885,"Frontend Engineer at Tech Mahindra (7.3yr, Vizag, Andhra Pradesh). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: consulting-heavy career (93% in IT services); 120d notice period. Response rate 74%, notice 120d."
CAND_0000018,14,0.145917,"Frontend Engineer at Acme Corp (6.6yr, Bhubaneswar, Odisha). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: 120d notice period; not marked open-to-work. Response rate 16%, notice 120d."
CAND_0000043,15,0.119036,"Cloud Engineer at Swiggy (8.3yr, Chandigarh, Chandigarh). Skills directly matching JD: Elasticsearch, OpenSearch. Concerns: 120d notice period; not marked open-to-work. Response rate 4%, notice 120d."
CAND_0000045,16,0.048790,"Project Manager at Initech (12.2yr, Indore, Madhya Pradesh). No direct retrieval/ranking/vector-DB evidence in profile. No major concerns. Response rate 62%, notice 60d."
CAND_0000044,17,0.022828,"Frontend Engineer at Tech Mahindra (5.7yr, Indore, Madhya Pradesh). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: consulting-heavy career (74% in IT services); 90d notice period. Response rate 66%, notice 90d."
CAND_0000007,18,0.013557,"Civil Engineer at Wipro (5.5yr, Gurgaon, Haryana). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: not marked open-to-work. Response rate 62%, notice 30d."
CAND_0000002,19,0.000000,"Operations Manager at Wipro (12.5yr, Chennai, Tamil Nadu). built Marketing Manager-level retrieval/search systems at Acme Corp. Concerns: inactive 215d on platform. Response rate 29%, notice 60d."
CAND_0000003,20,0.000000,"Customer Support at TCS (1.1yr, Austin, USA). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: consulting-heavy career (100% in IT services); 150d notice period. Response rate 46%, notice 150d."
CAND_0000004,21,0.000000,"Marketing Manager at Dunder Mifflin (3.8yr, Sydney, Australia). built Operations Manager-level retrieval/search systems at Infosys. Concerns: 120d notice period; not marked open-to-work. Response rate 26%, notice 120d."
CAND_0000005,22,0.000000,"Accountant at Stark Industries (11.0yr, Gurgaon, Haryana). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: inactive 257d on platform. Response rate 37%, notice 30d."
CAND_0000006,23,0.000000,"Business Analyst at Wayne Enterprises (6.0yr, Austin, USA). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: 150d notice period; not marked open-to-work. Response rate 12%, notice 150d."
CAND_0000008,24,0.000000,"Operations Manager at Wipro (3.6yr, Noida, Uttar Pradesh). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: consulting-heavy career (100% in IT services); 90d notice period. Response rate 42%, notice 90d."
CAND_0000009,25,0.000000,"Mechanical Engineer at Dunder Mifflin (11.0yr, New York, USA). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: 150d notice period; not marked open-to-work. Response rate 53%, notice 150d."
CAND_0000012,26,0.000000,"Operations Manager at Stark Industries (1.1yr, Chandigarh, Chandigarh). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: not marked open-to-work; inactive 230d on platform. Response rate 16%, notice 60d."
CAND_0000013,27,0.000000,"Civil Engineer at Globex Inc (1.1yr, Dubai, UAE). No direct retrieval/ranking/vector-DB evidence in profile. No major concerns. Response rate 28%, notice 30d."
CAND_0000016,28,0.000000,"Accountant at Infosys (5.3yr, Gurgaon, Haryana). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: consulting-heavy career (90% in IT services); inactive 176d on platform. Response rate 64%, notice 60d."
CAND_0000017,29,0.000000,"Accountant at Wipro (12.3yr, Bangalore, Karnataka). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: 90d notice period; not marked open-to-work. Response rate 27%, notice 90d."
CAND_0000019,30,0.000000,"Project Manager at Wayne Enterprises (6.5yr, Trivandrum, Kerala). No direct retrieval/ranking/vector-DB evidence in profile. Concerns: not marked open-to-work. Response rate 34%, notice 60d."
