candidate_id,rank,score,reasoning
CAND_0000031,1,0.730257,"Recommendation Systems Engineer at Swiggy, 6.0yr exp, Hyderabad, Telangana. Key skills: Go, MLflow, FAISS. Strengths: strong AI/ML skill match; clear production deployment evidence. Response rate 91%, notice 60d."
CAND_0000001,2,0.708657,"Backend Engineer at Mindtree, 6.9yr exp, Toronto, Canada. Key skills: NLP, Fine-tuning LLMs, Weights & Biases. Strengths: clear production deployment evidence; relevant technical title. Response rate 34%, notice 60d."
CAND_0000010,3,0.683895,"Data Engineer at Ola, 4.6yr exp, London, UK. Key skills: GCP, Elasticsearch, Azure. Strengths: clear production deployment evidence; relevant technical title. Concerns: 120d notice period; not marked open-to-work. Response rate 40%, notice 120d."
CAND_0000023,4,0.588003,"Software Engineer at Acme Corp, 3.7yr exp, New York, USA. Key skills: MongoDB, Redis. Strengths: clear production deployment evidence; relevant technical title. Concerns: not marked open-to-work. Response rate 57%, notice 30d."
CAND_0000014,5,0.571783,"Frontend Engineer at Zomato, 8.4yr exp, Hyderabad, Telangana. Key skills: FAISS, OpenSearch, REST APIs. Strengths: clear production deployment evidence. Concerns: 90d notice period; not marked open-to-work. Response rate 80%, notice 90d."
CAND_0000035,6,0.550970,"Full Stack Developer at Globex Inc, 4.3yr exp, Hyderabad, Telangana. Key skills: Recommendation Systems, Docker, MongoDB. Strengths: clear production deployment evidence. Concerns: not marked open-to-work; inactive 129d. Response rate 34%, notice 60d."
CAND_0000038,7,0.528995,"Java Developer at Swiggy, 6.7yr exp, Coimbatore, Tamil Nadu. Key skills: Weaviate, Docker, MLOps. Strengths: clear production deployment evidence; actively open to work. Concerns: 90d notice period; low recruiter response rate (20%). Response rate 20%, notice 90d."
CAND_0000043,8,0.491451,"Cloud Engineer at Swiggy, 8.3yr exp, Chandigarh, Chandigarh. Key skills: Elasticsearch, OpenSearch, Airflow. Strengths: clear production deployment evidence. Concerns: 120d notice period; not marked open-to-work. Response rate 4%, notice 120d."
CAND_0000048,9,0.471462,"Mobile Developer at CRED, 9.7yr exp, Hyderabad, Telangana. Key skills: AWS. Strengths: clear production deployment evidence; actively open to work. Concerns: 120d notice period. Response rate 65%, notice 120d."
CAND_0000018,10,0.403501,"Frontend Engineer at Acme Corp, 6.6yr exp, Bhubaneswar, Odisha. Key skills: general engineering. Strengths: clear production deployment evidence. Concerns: 120d notice period; not marked open-to-work. Response rate 16%, notice 120d."
CAND_0000032,11,0.377854,".NET Developer at Cognizant, 8.1yr exp, Gurgaon, Haryana. Key skills: REST APIs, Embeddings, Spark. Strengths: clear production deployment evidence. Concerns: CV/Speech/Robotics focus vs NLP/IR required; 150d notice period. Response rate 69%, notice 150d."
CAND_0000015,12,0.356958,"Software Engineer at Razorpay, 5.4yr exp, Trivandrum, Kerala. Key skills: PyTorch, Weights & Biases, Qdrant. Strengths: clear production deployment evidence; relevant technical title. Concerns: CV/Speech/Robotics focus vs NLP/IR required; 90d notice period. Response rate 32%, notice 90d."
CAND_0000044,13,0.237539,"Frontend Engineer at Tech Mahindra, 5.7yr exp, Indore, Madhya Pradesh. Key skills: Python. Strengths: clear production deployment evidence. Concerns: consulting-heavy career (74% in IT services); 90d notice period. Response rate 66%, notice 90d."
CAND_0000025,14,0.131750,"Frontend Engineer at Tech Mahindra, 7.3yr exp, Vizag, Andhra Pradesh. Key skills: Spark, GCP, Redis. Strengths: clear production deployment evidence; actively open to work. Concerns: consulting-heavy career (93% in IT services); 120d notice period. Response rate 74%, notice 120d."
CAND_0000041,15,0.091320,"Operations Manager at Hooli, 13.7yr exp, Delhi, Delhi. Key skills: Airflow, SQL, Go. Strengths: clear production deployment evidence; actively open to work. Concerns: non-technical current title; 90d notice period. Response rate 7%, notice 90d."
CAND_0000020,16,0.090510,"Mechanical Engineer at Wipro, 6.3yr exp, Ahmedabad, Gujarat. Key skills: Flask, Weights & Biases, GCP. Strengths: clear production deployment evidence; 30d notice. Concerns: non-technical current title; not marked open-to-work. Response rate 55%, notice 30d."
CAND_0000045,17,0.086970,"Project Manager at Initech, 12.2yr exp, Indore, Madhya Pradesh. Key skills: GCP, PostgreSQL, Airflow. Strengths: clear production deployment evidence; actively open to work. Concerns: non-technical current title. Response rate 62%, notice 60d."
CAND_0000026,18,0.085824,"Graphic Designer at Initech, 6.8yr exp, Kochi, Kerala. Key skills: Docker, Airflow, Kubernetes. Strengths: clear production deployment evidence; 30d notice. Concerns: non-technical current title; not marked open-to-work. Response rate 59%, notice 30d."
CAND_0000011,19,0.085086,"QA Engineer at Pied Piper, 2.0yr exp, Hyderabad, Telangana. Key skills: Recommendation Systems, FastAPI, Hugging Face Transformers. Strengths: clear production deployment evidence. Concerns: non-technical current title; 90d notice period. Response rate 56%, notice 90d."
CAND_0000046,20,0.081581,"Mechanical Engineer at Hooli, 7.8yr exp, London, UK. Key skills: Azure. Strengths: clear production deployment evidence; 30d notice. Concerns: non-technical current title; not marked open-to-work. Response rate 41%, notice 30d."
CAND_0000039,21,0.081201,"Marketing Manager at Acme Corp, 3.9yr exp, Bhubaneswar, Odisha. Key skills: Spark, Microservices, REST APIs. Strengths: clear production deployment evidence; 30d notice. Concerns: non-technical current title; not marked open-to-work. Response rate 52%, notice 30d."
CAND_0000002,22,0.078868,"Operations Manager at Wipro, 12.5yr exp, Chennai, Tamil Nadu. Key skills: Kafka, Feature Engineering, GCP. Strengths: clear production deployment evidence; actively open to work. Concerns: non-technical current title; inactive 215d. Response rate 29%, notice 60d."
CAND_0000037,23,0.074322,"Business Analyst at Stark Industries, 14.3yr exp, Dubai, UAE. Key skills: Docker, Flask, AWS. Strengths: clear production deployment evidence; 30d notice. Concerns: non-technical current title; not marked open-to-work. Response rate 78%, notice 30d."
CAND_0000017,24,0.073884,"Accountant at Wipro, 12.3yr exp, Bangalore, Karnataka. Key skills: PostgreSQL, REST APIs. Strengths: clear production deployment evidence. Concerns: non-technical current title; 90d notice period. Response rate 27%, notice 90d."
CAND_0000049,25,0.073304,"Mechanical Engineer at Wayne Enterprises, 11.8yr exp, Berlin, Germany. Key skills: Kubernetes. Strengths: clear production deployment evidence. Concerns: non-technical current title; 120d notice period. Response rate 59%, notice 120d."
CAND_0000021,26,0.073249,"Project Manager at Wipro, 14.5yr exp, Bhubaneswar, Odisha. Key skills: PostgreSQL, Kafka, Microservices. Strengths: strong AI/ML skill match; clear production deployment evidence. Concerns: non-technical current title; not marked open-to-work. Response rate 49%, notice 60d."
