candidate_id,rank,score,reasoning
CAND_0030953,1,0.955566,"With 7.8 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Learning to Rank, Qdrant), with room to grow in Vector DB Expertise. Notice period: 45 days."
CAND_0081846,2,0.949534,"With 6.7 years of experience, this Lead AI Engineer shows a strong background in Production Scale (specifically Information Retrieval, pgvector), with room to grow in Vector DB Expertise."
CAND_0039754,3,0.937268,"With 16.2 years of experience, this Senior Applied Scientist shows a strong background in Production Scale (specifically Qdrant, OpenSearch), with room to grow in Vector DB Expertise."
CAND_0010770,4,0.930545,"With 15.2 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically Qdrant, Learning to Rank), but lacks explicit evidence of Vector DB Expertise."
CAND_0046064,5,0.929999,"With 8.9 years of experience, this Senior NLP Engineer shows a strong background in Production Scale (specifically Pinecone, BM25), with room to grow in Core Search/LTR."
CAND_0055905,6,0.924209,"With 8.1 years of experience, this Senior Machine Learning Engineer shows a strong background in Production Scale (specifically Elasticsearch, OpenSearch), with room to grow in Vector DB Expertise."
CAND_0042506,7,0.920462,"With 4.2 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically Semantic Search, Information Retrieval), with room to grow in Vector DB Expertise."
CAND_0026532,8,0.912565,"With 4.8 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically pgvector, Semantic Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0053695,9,0.902321,"With 5.8 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Pinecone, pgvector), but lacks explicit evidence of Vector DB Expertise."
CAND_0064326,10,0.901198,"With 7.6 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Milvus, Semantic Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0041669,11,0.893804,"With 8 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically FAISS, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0018499,12,0.883466,"With 7.2 years of experience, this Senior Machine Learning Engineer shows a strong background in Production Scale (specifically Weaviate, Pinecone), but lacks explicit evidence of Vector DB Expertise."
CAND_0007009,13,0.868949,"With 7.9 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Weaviate, Learning to Rank), with room to grow in Vector DB Expertise."
CAND_0041568,14,0.863277,"With 5.2 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically Weaviate, Vector Search), with room to grow in Vector DB Expertise. Notice period: 90 days."
CAND_0028793,15,0.858476,"With 7.2 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Learning to Rank, Information Retrieval), with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0068811,16,0.855936,"With 8 years of experience, this Applied ML Engineer shows a strong background in Search Infrastructure (specifically Vector Search, Qdrant), but lacks explicit evidence of Vector DB Expertise."
CAND_0039383,17,0.854820,"With 7.1 years of experience, this Applied ML Engineer shows a strong background in Production Scale (specifically FAISS, Vector Search), but lacks explicit evidence of Vector DB Expertise. Notice period: 90 days."
CAND_0060054,18,0.849213,"With 6.4 years of experience, this AI Engineer shows a strong background in Production Scale (specifically Weaviate, FAISS), but lacks explicit evidence of Vector DB Expertise."
CAND_0083307,19,0.845762,"With 7.8 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically Pinecone, Weaviate), with room to grow in Vector DB Expertise. Notice period: 120 days."
CAND_0077337,20,0.845389,"With 7 years of experience, this Staff Machine Learning Engineer shows a strong background in Production Scale (specifically Semantic Search, pgvector), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0075249,21,0.844606,"With 6.2 years of experience, this Applied ML Engineer shows a strong background in Search Infrastructure (specifically Milvus, BM25), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0036437,22,0.841376,"With 4.8 years of experience, this Search Engineer shows a strong background in Production Scale (specifically OpenSearch, Elasticsearch), but lacks explicit evidence of Vector DB Expertise."
CAND_0017960,23,0.840960,"With 7.7 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically Qdrant, Information Retrieval), with room to grow in Core Search/LTR. Notice period: 60 days."
CAND_0076251,24,0.840320,"With 7.6 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically Weaviate, Learning to Rank), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0041610,25,0.835239,"With 6.7 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically Elasticsearch, OpenSearch), but lacks explicit evidence of Vector DB Expertise."
CAND_0037000,26,0.833251,"With 2.7 years of experience, this Search Engineer shows a strong background in Production Scale (specifically Semantic Search, FAISS), but lacks explicit evidence of Vector DB Expertise."
CAND_0052328,27,0.831779,"With 6.5 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically OpenSearch, Learning to Rank), but lacks explicit evidence of Vector DB Expertise."
CAND_0011687,28,0.829099,"With 7.8 years of experience, this Senior NLP Engineer shows a strong background in Production Scale (specifically OpenSearch, FAISS), but lacks explicit evidence of Vector DB Expertise."
CAND_0065195,29,0.822490,"With 5.1 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically Elasticsearch, Qdrant), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0071974,30,0.820289,"With 7.8 years of experience, this Senior AI Engineer shows a strong background in Production Scale (specifically Learning to Rank, Weaviate), but lacks explicit evidence of Vector DB Expertise. Notice period: 45 days."
CAND_0086022,31,0.815995,"With 5.3 years of experience, this Senior Applied Scientist shows a strong background in Production Scale (specifically Vector Search, pgvector), with room to grow in Vector DB Expertise. Notice period: 60 days."
CAND_0077285,32,0.815136,"With 5.5 years of experience, this Recommendation Systems Engineer shows a strong background in Production Scale (specifically Pinecone, Information Retrieval), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0040117,33,0.807785,"With 6.5 years of experience, this Recommendation Systems Engineer shows a strong background in Search Infrastructure (specifically FAISS, BM25), but lacks explicit evidence of Vector DB Expertise."
CAND_0081686,34,0.805530,"With 6 years of experience, this Search Engineer shows a strong background in Search Infrastructure (specifically FAISS, Milvus), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0055992,35,0.791550,"With 16.9 years of experience, this AI Engineer shows a strong background in Production Scale (specifically Information Retrieval, FAISS), with room to grow in Search Infrastructure. Notice period: 60 days."
CAND_0044222,36,0.781067,"With 7.7 years of experience, this AI Engineer shows a strong background in Production Scale (specifically Vector Search, OpenSearch), but lacks explicit evidence of Vector DB Expertise. Notice period: 60 days."
CAND_0051292,37,0.774576,"With 5.2 years of experience, this Applied ML Engineer shows a strong background in Search Infrastructure (specifically pgvector, FAISS), with room to grow in Production Scale."
